group,names,scores,logfoldchanges,pvals,pvals_adj
Endothelial,ENSG00000122679,102.66228,10.975445,0.0,0.0
Endothelial,ENSG00000141753,101.505775,15.169248,0.0,0.0
Endothelial,ENSG00000107281,101.02219,8.338235,0.0,0.0
Endothelial,ENSG00000174059,100.59843,9.210476,0.0,0.0
Endothelial,ENSG00000113140,98.91413,10.247441,0.0,0.0
Endothelial,ENSG00000184113,98.02553,14.935674,0.0,0.0
Endothelial,ENSG00000105974,97.99204,11.028288,0.0,0.0
Endothelial,ENSG00000164056,97.61657,9.802785,0.0,0.0
Endothelial,ENSG00000196628,97.3985,6.5207224,0.0,0.0
Endothelial,ENSG00000182809,96.30788,7.4881063,0.0,0.0
Endothelial,ENSG00000116016,95.45539,6.437625,0.0,0.0
Endothelial,ENSG00000177469,95.30532,6.5387797,0.0,0.0
Endothelial,ENSG00000064989,94.23999,8.702804,0.0,0.0
Endothelial,ENSG00000125810,92.70326,6.658246,0.0,0.0
Endothelial,ENSG00000169908,91.48197,10.085367,0.0,0.0
Endothelial,ENSG00000163513,91.40747,5.9240766,0.0,0.0
Endothelial,ENSG00000147113,91.16278,10.383478,0.0,0.0
Endothelial,ENSG00000088832,91.077484,12.146685,0.0,0.0
Endothelial,ENSG00000166265,90.97941,7.44566,0.0,0.0
Endothelial,ENSG00000026025,90.268616,49.99884,0.0,0.0
Endothelial,ENSG00000099260,89.80092,6.981124,0.0,0.0
Endothelial,ENSG00000125968,88.51281,8.233136,0.0,0.0
Endothelial,ENSG00000185201,87.56885,11.325079,0.0,0.0
Endothelial,ENSG00000134531,87.273674,5.806673,0.0,0.0
Endothelial,ENSG00000117318,87.169106,9.207866,0.0,0.0
Endothelial,ENSG00000107438,86.71869,7.575537,0.0,0.0
Endothelial,ENSG00000213088,86.20593,27.983362,0.0,0.0
Endothelial,ENSG00000187244,85.73076,5.6839786,0.0,0.0
Endothelial,ENSG00000071282,84.568436,5.579458,0.0,0.0
Endothelial,ENSG00000170989,83.65791,6.6994615,0.0,0.0
Endothelial,ENSG00000162444,83.30893,9.390083,0.0,0.0
Myeloid,ENSG00000011600,151.97327,41.649582,0.0,0.0
Myeloid,ENSG00000158869,147.95644,24.455946,0.0,0.0
Myeloid,ENSG00000204472,142.65048,19.251709,0.0,0.0
Myeloid,ENSG00000204287,141.27715,116.8575,0.0,0.0
Myeloid,ENSG00000231389,136.79532,59.838318,0.0,0.0
Myeloid,ENSG00000019582,135.84288,242.75188,0.0,0.0
Myeloid,ENSG00000090382,135.78683,45.41126,0.0,0.0
Myeloid,ENSG00000087086,134.94641,473.0303,0.0,0.0
Myeloid,ENSG00000223865,134.7247,50.65491,0.0,0.0
Myeloid,ENSG00000129226,132.88786,21.315565,0.0,0.0
Myeloid,ENSG00000110077,129.1256,17.749949,0.0,0.0
Myeloid,ENSG00000196126,128.9026,75.20355,0.0,0.0
Myeloid,ENSG00000162511,127.75253,17.137323,0.0,0.0
Myeloid,ENSG00000198502,124.81252,35.30674,0.0,0.0
Myeloid,ENSG00000233276,123.73626,34.46558,0.0,0.0
Myeloid,ENSG00000179344,123.69475,25.941631,0.0,0.0
Myeloid,ENSG00000163131,122.13763,12.555017,0.0,0.0
Myeloid,ENSG00000164733,121.85003,37.510212,0.0,0.0
Myeloid,ENSG00000119655,121.59424,17.654152,0.0,0.0
Myeloid,ENSG00000101439,120.48601,45.707355,0.0,0.0
Myeloid,ENSG00000204482,120.43818,9.411785,0.0,0.0
Myeloid,ENSG00000066336,119.989494,11.833092,0.0,0.0
Myeloid,ENSG00000204257,118.168236,11.333233,0.0,0.0
Myeloid,ENSG00000196735,118.0968,34.88538,0.0,0.0
Myeloid,ENSG00000197746,116.546455,31.022442,0.0,0.0
Myeloid,ENSG00000130066,115.92323,38.24328,0.0,0.0
Myeloid,ENSG00000165168,115.784355,11.544714,0.0,0.0
Myeloid,ENSG00000173372,114.89704,48.167034,0.0,0.0
Myeloid,ENSG00000011422,114.629456,9.578331,0.0,0.0
Myeloid,ENSG00000122862,114.56445,21.907303,0.0,0.0
Myeloid,ENSG00000173369,113.54163,55.99213,0.0,0.0
Myeloid,ENSG00000143110,113.39947,8.5304785,0.0,0.0
Myeloid,ENSG00000160255,112.70203,9.4009495,0.0,0.0
Myeloid,ENSG00000159189,112.27611,46.362793,0.0,0.0
Myeloid,ENSG00000030582,110.09159,14.756403,0.0,0.0
Myeloid,ENSG00000166927,110.0756,10.860283,0.0,0.0
Myeloid,ENSG00000203747,109.09913,13.562118,0.0,0.0
Myeloid,ENSG00000115956,109.09824,9.586337,0.0,0.0
Myeloid,ENSG00000143226,108.511986,10.259769,0.0,0.0
Myeloid,ENSG00000197249,106.200386,8.728707,0.0,0.0
Myeloid,ENSG00000170458,104.74393,11.820639,0.0,0.0
Myeloid,ENSG00000242574,103.55846,7.854357,0.0,0.0
Myeloid,ENSG00000102524,103.26862,7.267305,0.0,0.0
Myeloid,ENSG00000113269,102.148636,6.3139067,0.0,0.0
Myeloid,ENSG00000101160,101.9463,13.029467,0.0,0.0
Myeloid,ENSG00000025708,101.91269,12.067129,0.0,0.0
Myeloid,ENSG00000104870,101.7313,8.4735155,0.0,0.0
Myeloid,ENSG00000291237,101.58794,14.765557,0.0,0.0
Myeloid,ENSG00000051523,101.3292,13.048704,0.0,0.0
Myeloid,ENSG00000127951,99.540474,7.6381693,0.0,0.0
Normal Epithelial,ENSG00000184292,83.420586,19.986635,0.0,0.0
Normal Epithelial,ENSG00000112378,76.25299,7.519369,0.0,0.0
Normal Epithelial,ENSG00000170421,75.722374,12.244683,0.0,0.0
Normal Epithelial,ENSG00000120885,73.11822,10.433604,0.0,0.0
Normal Epithelial,ENSG00000135480,71.62418,14.047183,0.0,0.0
Normal Epithelial,ENSG00000111341,71.57934,197.80531,0.0,0.0
Normal Epithelial,ENSG00000100316,70.22883,74.82046,0.0,0.0
Normal Epithelial,ENSG00000167642,66.937,6.0825305,0.0,0.0
Normal Epithelial,ENSG00000101443,66.79924,10.089436,0.0,0.0
Normal Epithelial,ENSG00000169908,66.75571,21.417686,0.0,0.0
Normal Epithelial,ENSG00000189143,65.64728,21.603678,0.0,0.0
Normal Epithelial,ENSG00000109846,64.6217,9.832512,0.0,0.0
Normal Epithelial,ENSG00000198755,64.31,33.297356,0.0,0.0
Normal Epithelial,ENSG00000198034,63.946644,82.41043,0.0,0.0
Normal Epithelial,ENSG00000140416,63.382008,7.330684,0.0,0.0
Normal Epithelial,ENSG00000159176,63.10664,6.0109406,0.0,0.0
Normal Epithelial,ENSG00000122406,62.590996,39.462494,0.0,0.0
Normal Epithelial,ENSG00000185022,62.3433,8.03217,0.0,0.0
Normal Epithelial,ENSG00000111057,62.29783,14.885618,0.0,0.0
Normal Epithelial,ENSG00000162772,61.82001,11.727248,0.0,0.0
Normal Epithelial,ENSG00000010278,61.43503,6.08127,0.0,0.0
Normal Epithelial,ENSG00000109475,60.810677,53.96406,0.0,0.0
Normal Epithelial,ENSG00000184009,60.757202,32.534428,0.0,0.0
Normal Epithelial,ENSG00000160862,60.715946,24.815887,0.0,0.0
Normal Epithelial,ENSG00000197958,60.636017,68.86012,0.0,0.0
Normal Epithelial,ENSG00000167526,60.598064,95.2243,0.0,0.0
Normal Epithelial,ENSG00000167658,60.44253,14.30595,0.0,0.0
Normal Epithelial,ENSG00000169715,60.428997,6.152195,0.0,0.0
Normal Epithelial,ENSG00000204628,60.376102,36.92519,0.0,0.0
